framework,scenario,rps,p50_us,p90_us,p99_us,rss_peak_kb,cpu_pct_one_core,errors,non_2xx
katana,json-small,342326.52,717.0,1686.0,4110.0,157084,267.5,0,0
katana,echo-json,325530.97,1072.0,3142.0,4768.0,163712,304.6,0,0
katana,stats-128,290889.21,1280.0,3440.0,5176.0,166832,326.4,0,0
katana,json-pipe-10,2237999.58,1273.0,2679.0,4711.0,166584,387.0,0,0
katana,json-pipe-20,2814360.37,1928.0,3679.0,5898.0,166632,399.5,0,0
katana,db-point-select,57355.29,4400.0,4988.0,6488.0,166024,307.1,0,0
katana,db-list,13608.02,18425.0,22028.0,25196.0,166176,97.6,0,0
katana,db-insert-returning,2080.98,119821.0,145343.0,150542.0,153764,15.7,0,0
actix-web,json-small,343571.59,717.0,1974.0,4069.0,16112,262.1,0,0
actix-web,echo-json,328928.3,1016.0,2748.0,4402.0,16460,302.0,0,0
actix-web,stats-128,324527.22,1356.0,2024.0,2874.0,24692,398.3,0,0
actix-web,json-pipe-10,2834379.97,1012.0,1897.0,4015.0,21052,380.5,0,0
actix-web,json-pipe-20,3768425.6,1494.0,3146.0,0.0,26676,393.6,0,0
actix-web,db-point-select,42035.74,5997.0,6645.0,7545.0,19188,300.2,0,0
actix-web,db-list,14500.02,17563.0,18711.0,20232.0,19188,148.0,0,0
actix-web,db-insert-returning,8189.05,30856.0,32041.0,36357.0,15928,63.7,0,0
axum,json-small,341732.26,765.0,1678.0,4091.0,15020,303.8,0,0
axum,echo-json,324377.07,983.0,2669.0,4881.0,17288,329.2,0,0
axum,stats-128,274129.76,1625.0,2903.0,4850.0,18968,390.7,0,0
axum,json-pipe-10,2328403.0,1304.0,2969.0,4714.0,18432,395.4,0,0
axum,json-pipe-20,2907419.24,1949.0,4216.0,6603.0,19024,399.2,0,0
axum,db-point-select,47993.5,5169.0,6094.0,7221.0,19008,293.2,0,0
axum,db-list,15493.07,16419.0,17614.0,19275.0,19036,129.1,0,0
axum,db-insert-returning,8176.47,31095.0,31672.0,36490.0,15292,58.3,0,0
ntex,json-small,346699.25,718.0,1773.0,4103.0,12088,283.3,0,0
ntex,echo-json,321004.43,1089.0,2926.0,4621.0,18712,305.9,0,0
ntex,stats-128,301519.36,1459.0,2270.0,4480.0,18880,383.0,0,0
ntex,json-pipe-10,2234235.89,1288.0,2323.0,3685.0,18896,398.9,0,0
ntex,json-pipe-20,2786609.21,1950.0,3453.0,5311.0,18912,399.7,0,0
ntex,db-point-select,40755.17,6188.0,6891.0,7863.0,19012,308.6,0,0
ntex,db-list,13980.98,18221.0,19367.0,21115.0,19012,150.0,0,0
ntex,db-insert-returning,8204.29,30860.0,31948.0,36360.0,11264,64.7,0,0
drogon,json-small,319868.65,1132.0,2878.0,4889.0,24684,323.9,0,0
drogon,echo-json,247349.5,1866.0,2805.0,4785.0,24840,399.2,0,0
drogon,stats-128,51252.08,9600.0,11647.0,16838.0,25836,399.8,0,0
drogon,json-pipe-10,1348678.33,2173.0,3710.0,5708.0,29480,399.6,0,0
drogon,json-pipe-20,1486026.54,3983.0,6735.0,0.0,36252,399.6,0,0
drogon,db-point-select,34224.11,7255.0,8784.0,13693.0,36192,240.9,0,0
drogon,db-list,9961.17,25430.0,29583.0,42292.0,36024,141.2,0,0
drogon,db-insert-returning,2073.23,118548.0,141302.0,416602.0,23012,19.6,229,0
fastapi,json-small,66994.88,7043.0,10714.0,14572.0,396796,400.1,0,0
fastapi,echo-json,45117.86,10483.0,15581.0,22964.0,397780,400.0,0,0
fastapi,stats-128,36156.55,13389.0,19848.0,27897.0,398748,399.9,0,0
fastapi,json-pipe-10,68282.83,0.0,0.0,0.0,410276,400.0,0,0
fastapi,json-pipe-20,67152.81,0.0,0.0,0.0,432580,399.7,0,0
fastapi,db-point-select,10281.04,26118.0,36907.0,40302.0,435948,399.1,0,0
fastapi,db-list,6908.8,38609.0,49258.0,54865.0,436016,364.9,0,0
fastapi,db-insert-returning,8272.64,30298.0,44082.0,66486.0,401340,398.3,0,0
