framework,scenario,rps,p50_us,p90_us,p99_us,rss_peak_kb,cpu_pct_one_core,errors,non_2xx
katana,json-small,10323.46,48627.0,52618.0,59224.0,153700,13.7,0,0
katana,echo-json,10141.4,48998.0,54340.0,64199.0,158796,16.2,0,0
katana,stats-128,10173.06,48583.0,55720.0,100699.0,162720,18.2,2,0
katana,json-pipe-10,53888.34,0.0,0.0,0.0,160392,13.3,0,0
katana,json-pipe-20,73223.37,135721.0,649381.0,0.0,160880,15.2,362,0
katana,db-point-select,16143.62,15832.0,16487.0,22580.0,158596,85.9,0,0
katana,db-list,5265.54,39138.0,140756.0,287976.0,159660,37.3,0,0
katana,db-insert-returning,2075.13,121162.0,141300.0,147747.0,148988,14.7,0,0
actix-web,json-small,11078.37,45200.0,52401.0,56100.0,16112,15.1,0,0
actix-web,echo-json,10968.83,44993.0,53972.0,62319.0,16404,18.7,0,0
actix-web,stats-128,10564.36,40091.0,90445.0,485652.0,24664,21.6,70,0
actix-web,json-pipe-10,86332.65,0.0,0.0,0.0,17340,17.2,0,0
actix-web,json-pipe-20,83952.54,301094.0,0.0,0.0,26448,13.7,19,0
actix-web,db-point-select,16031.54,15922.0,16648.0,21705.0,19044,135.6,0,0
actix-web,db-list,5224.95,39757.0,134521.0,290482.0,19044,57.4,0,0
actix-web,db-insert-returning,8211.46,30849.0,32212.0,37148.0,16024,67.6,0,0
axum,json-small,10495.14,47879.0,55336.0,59424.0,15472,14.6,0,0
axum,echo-json,10564.19,47446.0,54315.0,58323.0,17364,24.6,0,0
axum,stats-128,10613.09,40941.0,90999.0,291876.0,19536,27.5,7,0
axum,json-pipe-10,86191.94,0.0,0.0,0.0,18692,18.2,0,0
axum,json-pipe-20,83228.82,336817.0,0.0,0.0,18904,15.5,29,0
axum,db-point-select,15985.08,15882.0,16710.0,23634.0,18472,107.4,0,0
axum,db-list,5216.62,39940.0,133911.0,289706.0,18488,48.6,0,0
axum,db-insert-returning,8254.48,30755.0,31936.0,36614.0,14192,61.8,0,0
ntex,json-small,10732.41,47281.0,53557.0,57769.0,10152,16.2,0,0
ntex,echo-json,10598.83,47853.0,54577.0,58698.0,10980,19.7,0,0
ntex,stats-128,10471.44,40251.0,91684.0,486720.0,11264,22.9,84,0
ntex,json-pipe-10,85979.1,0.0,0.0,0.0,11892,20.9,0,0
ntex,json-pipe-20,83736.42,307331.0,0.0,0.0,11996,17.2,34,0
ntex,db-point-select,16050.56,15859.0,16655.0,21755.0,12084,138.4,0,0
ntex,db-list,5197.33,39922.0,134587.0,307315.0,12092,58.3,1,0
ntex,db-insert-returning,8112.24,30880.0,32465.0,127238.0,11012,67.7,0,0
drogon,json-small,10756.41,46604.0,53850.0,58065.0,24612,19.2,1,0
drogon,echo-json,10669.33,47640.0,54127.0,59114.0,24684,27.5,0,0
drogon,stats-128,10420.98,42597.0,56750.0,341880.0,25796,92.7,48,0
drogon,json-pipe-10,54312.24,0.0,0.0,0.0,29568,23.1,0,0
drogon,json-pipe-20,65166.51,149168.0,763611.0,0.0,35920,23.6,470,0
drogon,db-point-select,16130.65,15841.0,16596.0,21292.0,36004,104.1,0,0
drogon,db-list,5152.19,40543.0,88493.0,288142.0,36060,70.8,0,0
drogon,db-insert-returning,2085.21,107289.0,202297.0,342880.0,23040,20.1,106,0
fastapi,json-small,10981.46,45813.0,52658.0,57140.0,391220,100.3,0,0
fastapi,echo-json,10930.61,46160.0,52747.0,56710.0,392780,129.1,0,0
fastapi,stats-128,10622.06,41268.0,56429.0,394201.0,393276,156.6,49,0
fastapi,json-pipe-10,49107.3,84845.0,477548.0,0.0,407052,329.0,243,0
fastapi,json-pipe-20,59855.01,142008.0,951427.0,0.0,435876,370.4,916,0
fastapi,db-point-select,9932.47,24401.0,32385.0,42437.0,441932,384.6,0,0
fastapi,db-list,5198.83,42689.0,86015.0,290768.0,441988,260.8,0,0
fastapi,db-insert-returning,8149.16,30733.0,36625.0,48358.0,400808,396.7,0,0
